Date,Time,CO mg/m3,8 hr roling avg
1/1/2011,0,,0.2
1/1/2011,1,0.2,0.1
1/1/2011,2,0.1,0.1
1/1/2011,3,0.1,0.1
1/1/2011,4,0.1,0.1
1/1/2011,5,0.1,0.1
1/1/2011,6,0.1,0.1
1/1/2011,7,0.1,0.1
1/1/2011,8,0.1,0.1
1/1/2011,9,0.1,0.1
1/1/2011,10,0,0.1
1/1/2011,11,0,0.1
1/1/2011,12,0.1,0.1
1/1/2011,13,0,0.1
1/1/2011,14,0,0.1
1/1/2011,15,0,0.1
1/1/2011,16,0,0.1
1/1/2011,17,0,0
1/1/2011,18,0.1,0
1/1/2011,19,0,0
1/1/2011,20,0.1,0
1/1/2011,21,0.1,0
1/1/2011,22,0,0
1/1/2011,23,0,0
2/1/2011,0,0,0
2/1/2011,1,0,0
2/1/2011,2,0,0
2/1/2011,3,0,0
2/1/2011,4,0,0
2/1/2011,5,0,0
2/1/2011,6,0,0
2/1/2011,7,0,0
2/1/2011,8,0,0
2/1/2011,9,0,0
2/1/2011,10,0,0
2/1/2011,11,0,0
2/1/2011,12,0,0
2/1/2011,13,0,0
2/1/2011,14,0,0
2/1/2011,15,0.1,0
2/1/2011,16,0.1,0
2/1/2011,17,0.1,0
2/1/2011,18,0.1,0
2/1/2011,19,0.1,0.1
2/1/2011,20,0.1,0.1
2/1/2011,21,0.1,0.1
2/1/2011,22,0.1,0.1
2/1/2011,23,0.1,0.1
3/1/2011,0,0.1,0.1
3/1/2011,1,0.1,0.1
3/1/2011,2,0.1,0.1
3/1/2011,3,0.1,0.1
3/1/2011,4,0,0.1
3/1/2011,5,0,0.1
3/1/2011,6,0,0.1
3/1/2011,7,0,0
3/1/2011,8,0,0
3/1/2011,9,0,0
3/1/2011,10,0,0
3/1/2011,11,0,0
3/1/2011,12,0,0
3/1/2011,13,0.1,0
3/1/2011,14,0,0
3/1/2011,15,0,0
3/1/2011,16,0,0
3/1/2011,17,0.1,0.1
3/1/2011,18,0.2,0.1
3/1/2011,19,0.3,0.1
3/1/2011,20,0.3,0.1
3/1/2011,21,0.1,0.1
3/1/2011,22,0,0.1
3/1/2011,23,0,0.1
4/1/2011,0,0,0.1
4/1/2011,1,0,0.1
4/1/2011,2,0,0.1
4/1/2011,3,0,0.1
4/1/2011,4,0,0
4/1/2011,5,0,0
4/1/2011,6,0,0
4/1/2011,7,0,0
4/1/2011,8,0,0
4/1/2011,9,0,0
4/1/2011,10,0,0
4/1/2011,11,CAL,0
4/1/2011,12,CAL,0
4/1/2011,13,CAL,0
4/1/2011,14,0,0
4/1/2011,15,0,0
4/1/2011,16,0.1,0
4/1/2011,17,0.1,0.1
4/1/2011,18,0.1,0.1
4/1/2011,19,0.1,0.1
4/1/2011,20,0,0.1
4/1/2011,21,0,0.1
4/1/2011,22,0,0.1
4/1/2011,23,0,0.1
5/1/2011,0,0,0
5/1/2011,1,0,0
5/1/2011,2,0,0
5/1/2011,3,0,0
5/1/2011,4,0,0
5/1/2011,5,0,0
5/1/2011,6,0,0
5/1/2011,7,0,0
5/1/2011,8,0,0
5/1/2011,9,0,0
5/1/2011,10,0,0
5/1/2011,11,0,0
5/1/2011,12,0,0
5/1/2011,13,0,0
5/1/2011,14,0,0
5/1/2011,15,0,0
5/1/2011,16,0.1,0
5/1/2011,17,0.1,0.1
5/1/2011,18,0.2,0.1
5/1/2011,19,0.1,0.1
5/1/2011,20,0.1,0.1
5/1/2011,21,0.1,0.1
5/1/2011,22,0.1,0.1
5/1/2011,23,0.1,0.1
6/1/2011,0,0.1,0.1
6/1/2011,1,0.1,0.1
6/1/2011,2,0.1,0.1
6/1/2011,3,0,0.1
6/1/2011,4,0,0.1
6/1/2011,5,0,0.1
6/1/2011,6,0.1,0.1
6/1/2011,7,0.1,0.1
6/1/2011,8,0.1,0.1
6/1/2011,9,0.2,0.1
6/1/2011,10,0.2,0.1
6/1/2011,11,0.1,0.1
6/1/2011,12,0.1,0.1
6/1/2011,13,0.1,0.1
6/1/2011,14,0,0.1
6/1/2011,15,0.1,0.1
6/1/2011,16,0.1,0.1
6/1/2011,17,0.3,0.1
6/1/2011,18,0.3,0.1
6/1/2011,19,0.3,0.2
6/1/2011,20,0.3,0.2
6/1/2011,21,0.6,0.2
6/1/2011,22,0.6,0.3
6/1/2011,23,0.7,0.4
7/1/2011,0,0.6,0.5
7/1/2011,1,0.5,0.5
7/1/2011,2,0.4,0.5
7/1/2011,3,0.6,0.6
7/1/2011,4,0.5,0.6
7/1/2011,5,0.3,0.5
7/1/2011,6,0,0.5
7/1/2011,7,0,0.4
7/1/2011,8,0,0.3
7/1/2011,9,0.1,0.2
7/1/2011,10,0.1,0.2
7/1/2011,11,0.1,0.1
7/1/2011,12,0.1,0.1
7/1/2011,13,0.1,0
7/1/2011,14,0.1,0.1
7/1/2011,15,0.1,0.1
7/1/2011,16,0.1,0.1
7/1/2011,17,0.2,0.1
7/1/2011,18,0.2,0.1
7/1/2011,19,0.2,0.1
7/1/2011,20,0.2,0.1
7/1/2011,21,0.2,0.1
7/1/2011,22,0.1,0.1
7/1/2011,23,0.1,0.1
8/1/2011,0,0.1,0.1
8/1/2011,1,0,0.1
8/1/2011,2,0,0.1
8/1/2011,3,0,0.1
8/1/2011,4,0,0.1
8/1/2011,5,0,0.1
8/1/2011,6,0,0
8/1/2011,7,0,0
8/1/2011,8,0,0
8/1/2011,9,0,0
8/1/2011,10,0,0
8/1/2011,11,0,0
8/1/2011,12,0,0
8/1/2011,13,0,0
8/1/2011,14,0,0
8/1/2011,15,0,0
8/1/2011,16,0,0
8/1/2011,17,0,0
8/1/2011,18,0,0
8/1/2011,19,0,0
8/1/2011,20,0,0
8/1/2011,21,0,0
8/1/2011,22,0.1,0
8/1/2011,23,0,0
9/1/2011,0,0,0
9/1/2011,1,0,0
9/1/2011,2,0,0
9/1/2011,3,0,0
9/1/2011,4,0,0
9/1/2011,5,0,0
9/1/2011,6,0,0
9/1/2011,7,0,0
9/1/2011,8,0,0
9/1/2011,9,0,0
9/1/2011,10,0,0
9/1/2011,11,0,0
9/1/2011,12,0,0
9/1/2011,13,0,0
9/1/2011,14,0.1,0
9/1/2011,15,0.1,0
9/1/2011,16,0.1,0
9/1/2011,17,0.1,0.1
9/1/2011,18,0.1,0.1
9/1/2011,19,0.2,0.1
9/1/2011,20,0.1,0.1
9/1/2011,21,0.2,0.1
9/1/2011,22,0.2,0.1
9/1/2011,23,0.2,0.2
10/1/2011,0,0.1,0.1
10/1/2011,1,0,0.1
10/1/2011,2,0,0.1
10/1/2011,3,0,0.1
10/1/2011,4,0,0.1
10/1/2011,5,0,0.1
10/1/2011,6,0,0
10/1/2011,7,0.1,0
10/1/2011,8,0,0
10/1/2011,9,0.1,0
10/1/2011,10,0.1,0
10/1/2011,11,0.3,0.1
10/1/2011,12,0.1,0.1
10/1/2011,13,0.1,0.1
10/1/2011,14,0.1,0.1
10/1/2011,15,0.2,0.1
10/1/2011,16,0.1,0.1
10/1/2011,17,0.3,0.2
10/1/2011,18,0.2,0.2
