Please provide hourly results  in mg/m3 of CO monitoring conducted in Dublin City by completing the table below. ,,,,,,,,,
The 8 hour rolling averages will calculate automatically. ,,,,,,,,,
Please provide a flag number (see comment for list) for the data entered if possible. The comment field is optional.,,,,,,,,,
Please indicate if any of the stations listed below have been removed from the network.,,,,,,,,,
Dublin City Council,,,,,,,,,
Site,,           Wood Quay (Winetavern St.),,,,         Coleraine Street,,,
Date,Time,CO mg/m3,8 hr roling avg,Flag,Comment,CO mg/m3,8 hr roling avg,Flag,Comment
31/12/2012,17.00,,#DIV/0!,,,,#DIV/0!,,
31/12/2011,18.00,,#DIV/0!,,,,#DIV/0!,,
31/12/2011,19.00,,#DIV/0!,,,,#DIV/0!,,
31/12/2011,20.00,,#DIV/0!,,,,#DIV/0!,,
31/12/2011,21.00,,#DIV/0!,,,,#DIV/0!,,
31/12/2011,22.00,,#DIV/0!,,,,#DIV/0!,,
31/12/2011,23.00,,#DIV/0!,,,,#DIV/0!,,
01/01/2012,0.00,,0.1,,,,#DIV/0!,,
01/01/2012,1.00,0.1,0.1,2,,0.9,0.9,2,
01/01/2012,2.00,0.1,0.1,2,,0.8,0.8,2,
01/01/2012,3.00,0.1,0.1,2,,0.6,0.8,2,
01/01/2012,4.00,0.0,0.1,2,,0.7,0.7,2,
01/01/2012,5.00,0.0,0.1,2,,0.6,0.7,2,
01/01/2012,6.00,0.0,0.1,2,,0.5,0.7,2,
01/01/2012,7.00,0.0,0.1,2,,0.7,0.7,2,
01/01/2012,8.00,0.0,0.0,2,,0.8,0.7,2,
01/01/2012,9.00,0.0,0.0,2,,0.7,0.7,2,
01/01/2012,10.00,0.0,0.0,2,,0.6,0.7,2,
01/01/2012,11.00,0.0,0.0,2,,0.5,0.7,2,
01/01/2012,12.00,0.0,0.0,2,,0.5,0.6,2,
01/01/2012,13.00,0.0,0.0,2,,0.5,0.6,2,
01/01/2012,14.00,0.1,0.0,2,,0.5,0.6,2,
01/01/2012,15.00,0.0,0.0,2,,0.5,0.6,2,
